timestamp,linkrate_kbps
1144,1744.17
1145,1585.63
1146,1589.17
1148,1929.26
1149,1517.76
1150,1571.19
1151,1498.56
1152,1735.89
1153,1215.88
1154,1617.66
1155,1632.33
1156,1464.14
1157,1776.89
1158,1692.65
1159,1609.92
1160,1568.13
1161,1637.71
1162,1790.68
1164,1480.54
1165,1823.44
1166,1559.22
1167,1360.19
1168,1733.84
1169,1545.01
1170,2085.91
1171,1370.19
1172,1332.28
1173,1689.97
1174,1923.80
1175,1903.10
1176,1211.42
1177,1689.52
1178,1711.42
1179,1660.72
1180,1301.06
1181,1627.92
1183,1555.31
1184,2218.02
1185,1547.72
1186,1494.82
1187,1542.14
1188,1390.91
1189,1650.94
1190,1326.13
1191,1548.62
1192,1425.07
1193,1614.76
1194,1822.79
1195,1774.82
1196,1629.59
1197,1766.16
1198,1777.47
1200,910.36
1201,1557.94
1202,1654.17
1203,1138.49
1204,1247.33
1205,1452.20
1206,1415.39
1207,1526.36
1208,1950.84
1209,1929.88
1210,1515.29
1211,2690.35
1212,1999.47
1213,2084.60
1214,1622.94
1215,2018.17
1217,1557.71
1218,1676.13
1219,1736.31
1220,1595.26
1221,1481.16
1222,1373.66
1223,1463.02
1224,1173.87
1225,1130.15
1226,1224.51
1227,1711.80
1228,1294.42
1229,1629.13
1230,1421.78
1231,1556.47
1232,1507.75
1233,1604.55
1234,1538.46
1235,1370.10
1236,1729.17
1237,1840.71
1239,1323.64
1240,1171.75
1241,1256.93
1242,1266.33
1243,1184.08
1244,1481.61
1245,2058.60
1246,2110.54
1247,2036.11
1248,1557.80
1249,1544.72
1250,1985.89
1251,1760.03
1253,1759.22
1254,1603.50
1255,1790.92
1256,1426.89
1257,1547.17
1258,1095.62
1259,1515.03
1260,1249.33
1261,1390.88
1262,1490.61
1263,1397.44
1264,1433.11
1265,1664.58
1266,2014.96
1267,1150.58
1268,1657.80
1269,1642.81
1271,1684.21
1272,1606.79
1273,1615.78
1274,1654.83
1275,1021.32
1276,1689.58
1277,1372.25
1278,1310.62
1279,1292.11
1280,1433.44
1281,1334.24
1282,1588.35
1283,1353.58
1285,1488.61
1286,1545.16
1287,1461.33
1288,1417.93
1289,1579.51
1290,1716.77
1291,1774.27
1292,1437.50
1293,1578.46
1294,1318.04
1295,2051.38
1296,1732.69
1297,1365.80
1299,1369.30
1300,1577.53
1301,1230.34
1302,1813.78
1303,1304.82
1304,1586.71
1305,1452.71
1306,1445.65
1307,1668.77
1308,1553.99
1309,1549.45
1310,1420.57
1311,1629.45
1312,1451.48
1313,1225.36
1314,1035.69
1315,968.75
1316,1059.90
1317,1327.67
1318,1227.90
1319,1630.24
1321,1136.18
1322,1532.60
1323,1144.38
1324,1861.04
1325,1656.03
1326,986.48
1327,1473.87
1328,1414.21
1329,1632.07
1330,1796.95
1331,1082.71
1333,1076.03
1334,843.02
1335,219.06
1336,1089.50
1337,1278.07
1338,1274.24
1339,1510.63
1340,1193.85
1341,1389.21
1342,1332.40
1343,1484.04
1344,1079.96
1346,1308.59
1347,1605.20
1348,1747.63
1349,1325.87
1350,1394.71
1351,1118.32
1352,1190.74
1353,1130.63
1354,1315.72
1355,1717.10
1356,1561.89
1357,1222.66
1358,1082.11
1359,1007.05
1360,1348.92
1361,1059.01
1362,1273.77
1363,1280.79
1364,1499.63
1365,1693.55
1367,1256.65
1368,1358.64
1369,1677.46
1370,1907.76
1371,1371.16
1372,1457.65
1373,1254.68
1374,1263.51
1375,1332.92
1376,1137.12
1377,1368.43
1379,1177.40
1380,1377.25
1381,1347.50
1382,1195.90
1383,993.01
1384,1438.18
1385,1121.36
1386,1286.89
1387,1678.81
1388,1220.98
1389,1318.32
1390,469.83
1391,246.26
1392,943.34
1393,1512.89
1394,1024.89
1395,1211.24
1396,1122.65
1398,1291.86
1399,1540.94
1400,1191.71
1401,1066.87
1402,1483.06
1403,1501.77
1404,1184.39
1405,1705.38
1406,1088.10
1407,1742.14
1408,1229.96
1409,1351.52
1410,1452.53
1411,1243.15
1412,1510.23
1413,1750.26
1414,1212.20
1415,1348.53
1416,1334.78
1417,1343.22
1418,1431.18
1419,1503.84
1420,1763.18
1422,1163.00
1423,1149.24
1424,1322.25
1425,1437.81
1425,2768.19
